snippet_number,new_filename,original_filename
61,codesnippet_0061.c,CharlesTaylor_valor:cmdline.c
62,codesnippet_0062.c,aasysvinitxen:src2Fwall.c
63,codesnippet_0063.c,binutils:libiberty2Fmake-temp-file.c
64,codesnippet_0064.c,c-family:CoreCLR:src2Fcorefx2FSystem.Globalization.Native2Fpal_icushim.c
65,codesnippet_0065.c,iproutexen:lib2Fll_map.c
66,codesnippet_0066.c,kbdartful:src2Ffindfile.c
67,codesnippet_0067.c,kbdartful:src2Fvlock2Fscreen.c
68,codesnippet_0068.c,kbdsource:src2Fvlock2Fscreen.c
69,codesnippet_0069.c,kbdxenial:src2Fopenvt.c
70,codesnippet_0070.c,kbdxenial:src2Fvlock2Fscreen.c
71,codesnippet_0071.c,kek:123:libcdrdeflt2Fcdrdeflt.c
72,codesnippet_0072.c,kek:123:libfind2Ffind_list.c
73,codesnippet_0073.c,kek:123:libschily2Fabspath.c
74,codesnippet_0074.c,kek:123:libschily2Ffjmem.c
75,codesnippet_0075.c,kek:123:libschily2Fsaveargs.c
76,codesnippet_0076.c,kek:123:mkisofs2Fdesktop.c
77,codesnippet_0077.c,libav:libavcodec2Fass.c
78,codesnippet_0078.c,libav:libavformat2Frtpdec_amr.c
79,codesnippet_0079.c,libcap2debian:libcap2Fcap_alloc.c
80,codesnippet_0080.c,libcap2debian:pam_cap2Fpam_cap.c
81,codesnippet_0081.c,snippet_01.c
82,codesnippet_0082.c,snippet_02.c
83,codesnippet_0083.c,snippet_03.c
84,codesnippet_0084.c,snippet_04.c
85,codesnippet_0085.c,snippet_05.c
86,codesnippet_0086.c,snippet_06.c
87,codesnippet_0087.c,snippet_07.c
88,codesnippet_0088.c,snippet_08.c
89,codesnippet_0089.c,snippet_09.c
90,codesnippet_0090.c,snippet_10.c
91,codesnippet_0091.c,snippet_11.c
92,codesnippet_0092.c,snippet_12.c
93,codesnippet_0093.c,snippet_13.c
94,codesnippet_0094.c,snippet_14.c
95,codesnippet_0095.c,snippet_15.c
96,codesnippet_0096.c,snippet_16.c
97,codesnippet_0097.c,snippet_17.c
98,codesnippet_0098.c,snippet_18.c
99,codesnippet_0099.c,snippet_19.c
100,codesnippet_0100.c,snippet_20.c
