filepath,language,label,explanation,source
vulnerable/001.php,php,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/002.php,php,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/003.php,php,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/004.php,php,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/005.php,php,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/006.php,php,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/007.php,php,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/008.php,php,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/009.php,php,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/010.php,php,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/011.python,python,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/012.python,python,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/013.python,python,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/014.python,python,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/015.python,python,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/016.python,python,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/017.python,python,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/018.python,python,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/019.python,python,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/020.python,python,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/021.javascript,javascript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/022.javascript,javascript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/023.javascript,javascript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/024.javascript,javascript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/025.javascript,javascript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
